Municipio,Estacion,Fecha,Diametro aerodinamico,Medicion
Santa Rosa de Cabal,Centro Urbano,01/16/2010 12:00:00 AM,PM10,10.48
Santa Rosa de Cabal,Centro Urbano,01/17/2010 12:00:00 AM,PM10,14.73
Santa Rosa de Cabal,Centro Urbano,01/18/2010 12:00:00 AM,PM10,50.16
Santa Rosa de Cabal,Centro Urbano,01/19/2010 12:00:00 AM,PM10,38.25
Santa Rosa de Cabal,Centro Urbano,01/20/2010 12:00:00 AM,PM10,28.21
Santa Rosa de Cabal,Centro Urbano,01/21/2010 12:00:00 AM,PM10,19.64
Santa Rosa de Cabal,Centro Urbano,01/22/2010 12:00:00 AM,PM10,35.13
Santa Rosa de Cabal,Centro Urbano,01/23/2010 12:00:00 AM,PM10,37.43
Santa Rosa de Cabal,Centro Urbano,01/24/2010 12:00:00 AM,PM10,24.59
Santa Rosa de Cabal,Centro Urbano,01/25/2010 12:00:00 AM,PM10,14.15
Santa Rosa de Cabal,Centro Urbano,01/26/2010 12:00:00 AM,PM10,22.58
Pereira,Centro,12/14/2012 12:00:00 AM,PM2.5,8.1
Santa Rosa de Cabal,Centro Urbano,10/27/2010 12:00:00 AM,PM10,15.07
Santa Rosa de Cabal,Centro Urbano,01/28/2010 12:00:00 AM,PM10,25.22
Santa Rosa de Cabal,Centro Urbano,01/29/2010 12:00:00 AM,PM10,19.09
Santa Rosa de Cabal,Centro Urbano,01/30/2010 12:00:00 AM,PM10,41.74
Santa Rosa de Cabal,Centro Urbano,01/31/2010 12:00:00 AM,PM10,30.24
Santa Rosa de Cabal,Centro Urbano,02/01/2010 12:00:00 AM,PM10,38.33
Santa Rosa de Cabal,Centro Urbano,02/02/2010 12:00:00 AM,PM10,46.52
Santa Rosa de Cabal,Centro Urbano,02/03/2010 12:00:00 AM,PM10,6.64
Santa Rosa de Cabal,Centro Urbano,02/04/2010 12:00:00 AM,PM10,16.96
Santa Rosa de Cabal,Centro Urbano,02/05/2010 12:00:00 AM,PM10,13.21
Santa Rosa de Cabal,Centro Urbano,02/06/2010 12:00:00 AM,PM10,28.34
Santa Rosa de Cabal,Centro Urbano,02/07/2010 12:00:00 AM,PM10,46.36
Santa Rosa de Cabal,Centro Urbano,02/08/2010 12:00:00 AM,PM10,15.62
Santa Rosa de Cabal,Centro Urbano,02/09/2010 12:00:00 AM,PM10,17.38
Santa Rosa de Cabal,Centro Urbano,02/10/2010 12:00:00 AM,PM10,20.52
Santa Rosa de Cabal,Centro Urbano,02/11/2010 12:00:00 AM,PM10,9.65
Santa Rosa de Cabal,Centro Urbano,02/12/2010 12:00:00 AM,PM10,12.19
Santa Rosa de Cabal,Centro Urbano,02/13/2010 12:00:00 AM,PM10,55.85
Santa Rosa de Cabal,Centro Urbano,08/29/2010 12:00:00 AM,PM10,14.28
Santa Rosa de Cabal,Centro Urbano,08/30/2010 12:00:00 AM,PM10,23.93
Santa Rosa de Cabal,Centro Urbano,08/31/2010 12:00:00 AM,PM10,16.14
Santa Rosa de Cabal,Centro Urbano,09/01/2010 12:00:00 AM,PM10,7.57
Santa Rosa de Cabal,Centro Urbano,09/02/2010 12:00:00 AM,PM10,45.19
Santa Rosa de Cabal,Centro Urbano,09/03/2010 12:00:00 AM,PM10,33.2
Santa Rosa de Cabal,Centro Urbano,09/04/2010 12:00:00 AM,PM10,36.33
Santa Rosa de Cabal,Centro Urbano,09/05/2010 12:00:00 AM,PM10,23.87
Santa Rosa de Cabal,Centro Urbano,09/06/2010 12:00:00 AM,PM10,26.19
Santa Rosa de Cabal,Centro Urbano,09/07/2010 12:00:00 AM,PM10,34.3
Santa Rosa de Cabal,Centro Urbano,09/08/2010 12:00:00 AM,PM10,13.63
Santa Rosa de Cabal,Centro Urbano,09/09/2010 12:00:00 AM,PM10,55.45
Santa Rosa de Cabal,Centro Urbano,09/10/2010 12:00:00 AM,PM10,58.78
Santa Rosa de Cabal,Centro Urbano,09/11/2010 12:00:00 AM,PM10,46.01
Santa Rosa de Cabal,Centro Urbano,09/12/2010 12:00:00 AM,PM10,53.71
Santa Rosa de Cabal,Centro Urbano,09/13/2010 12:00:00 AM,PM10,20.18
Santa Rosa de Cabal,Centro Urbano,09/14/2010 12:00:00 AM,PM10,38.72
Santa Rosa de Cabal,Centro Urbano,09/15/2010 12:00:00 AM,PM10,20.76
Santa Rosa de Cabal,Centro Urbano,09/16/2010 12:00:00 AM,PM10,39.93
Santa Rosa de Cabal,Centro Urbano,09/17/2010 12:00:00 AM,PM10,29.27
Santa Rosa de Cabal,Centro Urbano,09/18/2010 12:00:00 AM,PM10,50.77
Santa Rosa de Cabal,Centro Urbano,09/19/2010 12:00:00 AM,PM10,38.57
Santa Rosa de Cabal,Centro Urbano,09/20/2010 12:00:00 AM,PM10,31.48
Santa Rosa de Cabal,Centro Urbano,09/21/2010 12:00:00 AM,PM10,53.56
Santa Rosa de Cabal,Centro Urbano,09/22/2010 12:00:00 AM,PM10,48.2
Santa Rosa de Cabal,Centro Urbano,09/23/2010 12:00:00 AM,PM10,11.89
Santa Rosa de Cabal,Centro Urbano,09/24/2010 12:00:00 AM,PM10,24.94
Santa Rosa de Cabal,Centro Urbano,09/25/2010 12:00:00 AM,PM10,47.45
Santa Rosa de Cabal,Centro Urbano,09/26/2010 12:00:00 AM,PM10,19.41
Santa Rosa de Cabal,Centro Urbano,09/27/2010 12:00:00 AM,PM10,17.49
Santa Rosa de Cabal,Centro Urbano,09/28/2010 12:00:00 AM,PM10,30.33
Santa Rosa de Cabal,Centro Urbano,09/29/2010 12:00:00 AM,PM10,27.25
Santa Rosa de Cabal,Centro Urbano,11/02/2012 12:00:00 AM,PM10,23
Santa Rosa de Cabal,Centro Urbano,11/04/2012 12:00:00 AM,PM10,25
Santa Rosa de Cabal,Centro Urbano,11/06/2012 12:00:00 AM,PM10,29
Santa Rosa de Cabal,Centro Urbano,11/08/2012 12:00:00 AM,PM10,38
Santa Rosa de Cabal,Centro Urbano,11/10/2012 12:00:00 AM,PM10,36
Santa Rosa de Cabal,Centro Urbano,11/12/2012 12:00:00 AM,PM10,39
Santa Rosa de Cabal,Centro Urbano,11/14/2012 12:00:00 AM,PM10,45
Santa Rosa de Cabal,Centro Urbano,11/16/2012 12:00:00 AM,PM10,48
Santa Rosa de Cabal,Centro Urbano,11/18/2012 12:00:00 AM,PM10,26
Santa Rosa de Cabal,Centro Urbano,11/20/2012 12:00:00 AM,PM10,25
Santa Rosa de Cabal,Centro Urbano,11/22/2012 12:00:00 AM,PM10,49
Santa Rosa de Cabal,Centro Urbano,11/24/2012 12:00:00 AM,PM10,48
Santa Rosa de Cabal,Centro Urbano,11/26/2012 12:00:00 AM,PM10,36
Santa Rosa de Cabal,Centro Urbano,11/28/2012 12:00:00 AM,PM10,56
Santa Rosa de Cabal,Centro Urbano,11/30/2012 12:00:00 AM,PM10,41
Pereira,Centro,12/16/2012 12:00:00 AM,PM2.5,7.14
Santa Rosa de Cabal,Centro Urbano,12/02/2012 12:00:00 AM,PM10,49
Santa Rosa de Cabal,Centro Urbano,12/04/2012 12:00:00 AM,PM10,43
Santa Rosa de Cabal,Centro Urbano,12/06/2012 12:00:00 AM,PM10,45
Santa Rosa de Cabal,Centro Urbano,12/08/2012 12:00:00 AM,PM10,28
Santa Rosa de Cabal,Centro Urbano,12/10/2012 12:00:00 AM,PM10,26
Santa Rosa de Cabal,Centro Urbano,12/12/2012 12:00:00 AM,PM10,21
Santa Rosa de Cabal,Centro Urbano,12/14/2012 12:00:00 AM,PM10,23
Santa Rosa de Cabal,Centro Urbano,12/16/2012 12:00:00 AM,PM10,28
Santa Rosa de Cabal,Centro Urbano,12/18/2012 12:00:00 AM,PM10,24
Santa Rosa de Cabal,Centro Urbano,12/20/2012 12:00:00 AM,PM10,29
Santa Rosa de Cabal,Centro Urbano,12/22/2012 12:00:00 AM,PM10,60
Santa Rosa de Cabal,Centro Urbano,12/24/2012 12:00:00 AM,PM10,36
Santa Rosa de Cabal,Centro Urbano,12/26/2012 12:00:00 AM,PM10,31
Santa Rosa de Cabal,Centro Urbano,12/28/2012 12:00:00 AM,PM10,39
Santa Rosa de Cabal,Centro Urbano,12/30/2012 12:00:00 AM,PM10,35
Santa Rosa de Cabal,Centro Urbano,02/05/2015 12:00:00 AM,PM10,40.91
Santa Rosa de Cabal,Centro Urbano,02/07/2015 12:00:00 AM,PM10,35.3
Santa Rosa de Cabal,Centro Urbano,02/09/2015 12:00:00 AM,PM10,18.03
Santa Rosa de Cabal,Centro Urbano,02/11/2015 12:00:00 AM,PM10,34.16
Santa Rosa de Cabal,Centro Urbano,02/13/2015 12:00:00 AM,PM10,18.94
Santa Rosa de Cabal,Centro Urbano,02/15/2015 12:00:00 AM,PM10,32.29
Santa Rosa de Cabal,Centro Urbano,02/17/2015 12:00:00 AM,PM10,40.6
Santa Rosa de Cabal,Centro Urbano,02/19/2015 12:00:00 AM,PM10,24.74
Santa Rosa de Cabal,Centro Urbano,02/21/2015 12:00:00 AM,PM10,25.57
Santa Rosa de Cabal,Centro Urbano,02/23/2015 12:00:00 AM,PM10,25.46
Santa Rosa de Cabal,Centro Urbano,02/25/2015 12:00:00 AM,PM10,42.53
Santa Rosa de Cabal,Centro Urbano,02/27/2015 12:00:00 AM,PM10,48.16
Santa Rosa de Cabal,Centro Urbano,03/01/2015 12:00:00 AM,PM10,35.57
Santa Rosa de Cabal,Centro Urbano,03/03/2015 12:00:00 AM,PM10,34.35
Santa Rosa de Cabal,Centro Urbano,03/05/2015 12:00:00 AM,PM10,43.26
Santa Rosa de Cabal,Centro Urbano,03/07/2015 12:00:00 AM,PM10,36.82
Santa Rosa de Cabal,Centro Urbano,03/09/2015 12:00:00 AM,PM10,34.88
Santa Rosa de Cabal,Centro Urbano,03/11/2015 12:00:00 AM,PM10,37.97
Santa Rosa de Cabal,Centro Urbano,03/13/2015 12:00:00 AM,PM10,37.88
Santa Rosa de Cabal,Centro Urbano,03/15/2015 12:00:00 AM,PM10,43.53
Santa Rosa de Cabal,Centro Urbano,03/18/2015 12:00:00 AM,PM10,20.49
Santa Rosa de Cabal,Centro Urbano,03/22/2015 12:00:00 AM,PM10,30.9
Santa Rosa de Cabal,Centro Urbano,03/25/2015 12:00:00 AM,PM10,47.08
Santa Rosa de Cabal,Centro Urbano,03/29/2015 12:00:00 AM,PM10,22.67
